Canada, Exposure to risk (period 1x10), 	Last modified: 13 Dec 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1921-1929        0            943265.86       952296.49      1895562.35
1921-1929        1            954525.60       968059.46      1922585.06
1921-1929        2            966564.03       984882.75      1951446.78
1921-1929        3            974012.38       995521.65      1969534.03
1921-1929        4            975479.28       998730.81      1974210.09
1921-1929        5            972298.16       996031.33      1968329.49
1921-1929        6            965813.89       988946.41      1954760.30
1921-1929        7            955583.34       977203.16      1932786.50
1921-1929        8            941499.95       960911.35      1902411.31
1921-1929        9            925366.33       942091.84      1867458.17
1921-1929       10            907434.42       920874.25      1828308.67
1921-1929       11            887257.54       896640.93      1783898.47
1921-1929       12            868974.49       875392.25      1744366.74
1921-1929       13            854406.14       859788.27      1714194.40
1921-1929       14            841739.93       847252.97      1688992.90
1921-1929       15            827972.89       833429.40      1661402.29
1921-1929       16            814178.63       819868.84      1634047.47
1921-1929       17            798152.03       802510.07      1600662.10
1921-1929       18            778646.00       779287.39      1557933.38
1921-1929       19            757150.23       752926.85      1510077.08
1921-1929       20            736256.46       727832.83      1464089.28
1921-1929       21            715345.13       703141.33      1418486.46
1921-1929       22            697153.03       683162.85      1380315.88
1921-1929       23            683154.38       670105.09      1353259.46
1921-1929       24            671910.24       661672.93      1333583.17
1921-1929       25            660719.13       653534.70      1314253.83
1921-1929       26            650061.19       646362.18      1296423.37
1921-1929       27            639078.13       639736.62      1278814.75
1921-1929       28            627176.95       633090.11      1260267.06
1921-1929       29            615044.09       626950.61      1241994.69
1921-1929       30            603397.52       621586.67      1224984.19
1921-1929       31            591812.87       616362.01      1208174.88
1921-1929       32            582446.12       614252.33      1196698.45
1921-1929       33            576147.74       616338.42      1192486.16
1921-1929       34            571487.94       620551.00      1192038.94
1921-1929       35            566490.23       624190.52      1190680.75
1921-1929       36            561601.00       627752.32      1189353.32
1921-1929       37            553673.07       626139.28      1179812.35
1921-1929       38            541216.92       616879.02      1158095.94
1921-1929       39            525968.28       602759.10      1128727.38
1921-1929       40            510903.04       588586.40      1099489.44
1921-1929       41            495450.30       573516.26      1068966.56
1921-1929       42            480759.74       558831.24      1039590.98
1921-1929       43            467605.68       545508.82      1013114.50
1921-1929       44            455235.90       532645.22       987881.12
1921-1929       45            442278.73       518494.35       960773.09
1921-1929       46            429222.64       503607.71       932830.35
1921-1929       47            415522.03       487795.57       903317.61
1921-1929       48            400728.95       470738.96       871467.91
1921-1929       49            385239.90       452767.51       838007.40
1921-1929       50            370028.51       434839.55       804868.06
1921-1929       51            354969.73       417088.01       772057.74
1921-1929       52            339856.09       398016.18       737872.27
1921-1929       53            324797.85       377182.50       701980.35
1921-1929       54            310071.19       355702.83       665774.03
1921-1929       55            295473.97       334499.37       629973.34
1921-1929       56            280922.01       313100.05       594022.06
1921-1929       57            268380.28       295748.34       564128.62
1921-1929       58            258552.85       284300.49       542853.34
1921-1929       59            250386.81       276487.98       526874.79
1921-1929       60            242236.70       268464.05       510700.75
1921-1929       61            234432.35       261010.93       495443.28
1921-1929       62            225365.05       251606.12       476971.16
1921-1929       63            214198.33       238754.17       452952.50
1921-1929       64            201880.40       223977.50       425857.90
1921-1929       65            189983.55       209991.72       399975.27
1921-1929       66            178242.34       196298.31       374540.65
1921-1929       67            167138.13       183229.87       350368.00
1921-1929       68            156961.26       171099.41       328060.66
1921-1929       69            147381.63       159621.53       307003.16
1921-1929       70            137806.76       148136.17       285942.94
1921-1929       71            128477.24       136909.60       265386.84
1921-1929       72            118991.22       125736.63       244727.84
1921-1929       73            109121.35       114467.30       223588.65
1921-1929       74             99164.73       103334.70       202499.43
1921-1929       75             89588.72        92652.62       182241.33
1921-1929       76             80267.16        82360.06       162627.22
1921-1929       77             71627.02        72779.00       144406.02
1921-1929       78             63854.15        64074.49       127928.63
1921-1929       79             57129.66        56227.89       113357.55
1921-1929       80             56380.98        50253.36       106634.34
1921-1929       81             49461.81        43348.21        92810.02
1921-1929       82             43101.58        37192.49        80294.06
1921-1929       83             36882.29        31304.20        68186.48
1921-1929       84             31238.34        26069.01        57307.35
1921-1929       85             25988.15        21267.59        47255.74
1921-1929       86             21270.87        17039.65        38310.51
1921-1929       87             17164.15        13456.77        30620.93
1921-1929       88             13720.42        10536.74        24257.16
1921-1929       89             10865.15         8172.63        19037.78
1921-1929       90              8439.87         6195.34        14635.21
1921-1929       91              6545.20         4693.55        11238.75
1921-1929       92              5106.31         3544.27         8650.59
1921-1929       93              3822.70         2592.29         6414.99
1921-1929       94              2773.46         1892.03         4665.50
1921-1929       95              1979.48         1348.40         3327.88
1921-1929       96              1398.67          965.02         2363.69
1921-1929       97               986.21          682.12         1668.33
1921-1929       98               680.52          466.11         1146.63
1921-1929       99               454.77          330.24          785.01
1921-1929      100               298.94          231.39          530.32
1921-1929      101               190.31          149.26          339.57
1921-1929      102               118.28           93.70          211.98
1921-1929      103                70.73           56.93          127.66
1921-1929      104                40.18           32.75           72.93
1921-1929      105                20.90           17.26           38.16
1921-1929      106                 8.94            7.56           16.51
1921-1929      107                 2.31            2.10            4.41
1921-1929      108                 0.27            0.49            0.76
1921-1929      109                 0.00            0.00            0.00
1921-1929      110+                0.00            0.00            0.00
1930-1939        0            995740.07      1027846.70      2023586.77
1930-1939        1           1006304.37      1034748.37      2041052.73
1930-1939        2           1022497.74      1049196.52      2071694.27
1930-1939        3           1037550.84      1062924.39      2100475.23
1930-1939        4           1051726.79      1076132.06      2127858.86
1930-1939        5           1064844.07      1088579.68      2153423.75
1930-1939        6           1076590.25      1099896.07      2176486.32
1930-1939        7           1085815.04      1108880.58      2194695.62
1930-1939        8           1094958.99      1117965.71      2212924.70
1930-1939        9           1102013.50      1125064.12      2227077.63
1930-1939       10           1105823.14      1129005.81      2234828.94
1930-1939       11           1108920.69      1132416.44      2241337.13
1930-1939       12           1107714.77      1131233.42      2238948.18
1930-1939       13           1102050.13      1125109.34      2227159.47
1930-1939       14           1091629.52      1113911.82      2205541.34
1930-1939       15           1079519.51      1101305.68      2180825.19
1930-1939       16           1065869.72      1087548.69      2153418.41
