Canada, Life tables (period 1x1), Males	Last modified: 13 Dec 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0      0.13825  0.12604  0.30  100000   12604   91167  5602724  56.03
  1921           1      0.01781  0.01765  0.50   87396    1542   86625  5511557  63.06
  1921           2      0.00852  0.00848  0.50   85854     728   85490  5424932  63.19
  1921           3      0.00611  0.00609  0.50   85125     519   84866  5339443  62.72
  1921           4      0.00474  0.00473  0.50   84607     401   84406  5254577  62.11
  1921           5      0.00383  0.00382  0.50   84206     322   84045  5170170  61.40
  1921           6      0.00363  0.00362  0.50   83884     304   83732  5086125  60.63
  1921           7      0.00318  0.00317  0.50   83580     265   83448  5002393  59.85
  1921           8      0.00261  0.00261  0.50   83315     218   83207  4918945  59.04
  1921           9      0.00245  0.00244  0.50   83098     203   82996  4835738  58.19
  1921          10      0.00214  0.00214  0.50   82895     177   82806  4752742  57.33
  1921          11      0.00222  0.00222  0.50   82717     184   82626  4669936  56.46
  1921          12      0.00210  0.00210  0.50   82534     173   82447  4587310  55.58
  1921          13      0.00217  0.00217  0.50   82361     179   82271  4504863  54.70
  1921          14      0.00208  0.00208  0.50   82182     171   82097  4422592  53.81
  1921          15      0.00252  0.00251  0.50   82011     206   81908  4340495  52.93
  1921          16      0.00274  0.00274  0.50   81805     224   81693  4258587  52.06
  1921          17      0.00358  0.00357  0.50   81581     292   81436  4176893  51.20
  1921          18      0.00351  0.00350  0.50   81290     284   81148  4095458  50.38
  1921          19      0.00359  0.00359  0.50   81005     291   80860  4014310  49.56
  1921          20      0.00367  0.00367  0.50   80715     296   80567  3933450  48.73
  1921          21      0.00417  0.00416  0.50   80419     335   80251  3852883  47.91
  1921          22      0.00381  0.00380  0.50   80084     304   79932  3772632  47.11
  1921          23      0.00421  0.00420  0.50   79779     335   79612  3692701  46.29
  1921          24      0.00371  0.00371  0.50   79445     295   79297  3613089  45.48
  1921          25      0.00397  0.00396  0.50   79150     313   78993  3533791  44.65
  1921          26      0.00400  0.00399  0.50   78837     315   78679  3454798  43.82
  1921          27      0.00416  0.00415  0.50   78522     326   78359  3376119  43.00
  1921          28      0.00439  0.00439  0.50   78196     343   78025  3297760  42.17
  1921          29      0.00394  0.00393  0.50   77853     306   77700  3219735  41.36
  1921          30      0.00400  0.00399  0.50   77547     309   77393  3142034  40.52
  1921          31      0.00358  0.00357  0.50   77238     276   77100  3064641  39.68
  1921          32      0.00415  0.00415  0.50   76962     319   76802  2987541  38.82
  1921          33      0.00404  0.00404  0.50   76643     309   76488  2910739  37.98
  1921          34      0.00385  0.00384  0.50   76334     293   76187  2834251  37.13
  1921          35      0.00507  0.00506  0.50   76040     384   75848  2758063  36.27
  1921          36      0.00453  0.00452  0.50   75656     342   75485  2682215  35.45
  1921          37      0.00429  0.00428  0.50   75314     323   75153  2606730  34.61
  1921          38      0.00592  0.00591  0.50   74992     443   74770  2531577  33.76
  1921          39      0.00466  0.00465  0.50   74549     347   74376  2456807  32.96
  1921          40      0.00648  0.00646  0.50   74202     479   73963  2382431  32.11
  1921          41      0.00530  0.00529  0.50   73723     390   73528  2308468  31.31
  1921          42      0.00673  0.00671  0.50   73333     492   73088  2234940  30.48
  1921          43      0.00555  0.00553  0.50   72842     403   72640  2161852  29.68
  1921          44      0.00570  0.00568  0.50   72439     412   72233  2089212  28.84
  1921          45      0.00766  0.00763  0.50   72027     550   71752  2016979  28.00
  1921          46      0.00700  0.00697  0.50   71478     498   71228  1945227  27.21
  1921          47      0.00714  0.00711  0.50   70979     505   70727  1873998  26.40
  1921          48      0.00859  0.00856  0.50   70475     603   70173  1803272  25.59
  1921          49      0.00820  0.00817  0.50   69872     571   69586  1733099  24.80
  1921          50      0.01074  0.01069  0.50   69301     741   68930  1663512  24.00
  1921          51      0.00815  0.00811  0.50   68560     556   68282  1594582  23.26
  1921          52      0.01126  0.01120  0.50   68004     762   67623  1526300  22.44
  1921          53      0.01079  0.01073  0.50   67242     722   66881  1458677  21.69
  1921          54      0.01183  0.01176  0.50   66520     783   66129  1391796  20.92
  1921          55      0.01379  0.01369  0.50   65738     900   65288  1325667  20.17
  1921          56      0.01522  0.01510  0.50   64838     979   64348  1260379  19.44
  1921          57      0.01442  0.01431  0.50   63859     914   63401  1196031  18.73
  1921          58      0.01779  0.01764  0.50   62944    1110   62389  1132629  17.99
  1921          59      0.01783  0.01767  0.50   61834    1093   61288  1070240  17.31
  1921          60      0.02134  0.02111  0.50   60742    1282   60101  1008952  16.61
  1921          61      0.01870  0.01852  0.50   59459    1101   58909   948851  15.96
  1921          62      0.02371  0.02343  0.50   58358    1367   57674   889942  15.25
  1921          63      0.02506  0.02475  0.50   56991    1410   56286   832268  14.60
  1921          64      0.02533  0.02501  0.50   55580    1390   54885   775983  13.96
  1921          65      0.03364  0.03309  0.50   54190    1793   53294   721097  13.31
  1921          66      0.02924  0.02882  0.50   52397    1510   51642   667804  12.75
  1921          67      0.03549  0.03487  0.50   50887    1775   50000   616161  12.11
  1921          68      0.04100  0.04018  0.50   49113    1973   48126   566161  11.53
  1921          69      0.03947  0.03870  0.50   47140    1824   46227   518035  10.99
  1921          70      0.05145  0.05016  0.50   45315    2273   44179   471807  10.41
  1921          71      0.04400  0.04305  0.50   43042    1853   42116   427629   9.94
  1921          72      0.05852  0.05685  0.50   41189    2342   40018   385513   9.36
  1921          73      0.06109  0.05928  0.50   38847    2303   37696   345495   8.89
